start,end,years,final_nav,total_return,cagr,mdd,vol,sharpe,name,kr_exec,rule,defense,kr_mode,kr_first_buy_drop,us_first_buy_drop,kr_stage1_count,kr_stage2_count,kr_stage3_count,us_stage1_count,us_stage2_count,us_stage3_count
2011-02-28,2026-05-31,15.252566735112936,892.0520740151253,7.648073328913977,0.1519324074296431,-0.1892945536805125,0.13194543329818204,1.1503471073173892,SemiSplit/ma_reclaim/basket,KR_Semi_50_50,ma_reclaim,basket,split,0.0,,121,111,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,743.8686080439463,6.21149634290536,0.13829411781931955,-0.10018213332631765,0.10301144334833721,1.3272621038632666,Semi50/or/basket,KR_Semi_50_50,or,basket,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,726.3711511050301,6.041865785357106,0.13651907027147958,-0.1001821333263182,0.1023059092329192,1.3203952174510438,Semi50/annual5_live/basket,KR_Semi_50_50,annual5_live,basket,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,721.8812413916876,5.998337980678149,0.13605714655339485,-0.10018213332631765,0.10245352544828441,1.314655313827732,Semi50/ma_down/basket,KR_Semi_50_50,ma_down,basket,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,700.6753357217013,5.792755557205229,0.1338385298678142,-0.15495932933221157,0.10514832681088791,1.2647927870330984,Semi50/ma_reclaim/basket,KR_Semi_50_50,ma_reclaim,basket,combined,0.0,,89,7,7,0,0,0
2011-02-28,2026-05-31,15.252566735112936,668.7297112141307,5.483056032562077,0.1303748930598132,-0.09681129687379708,0.10018181162602242,1.2919504541617404,Semi50/drawdown/basket,KR_Semi_50_50,drawdown,basket,combined,-0.0375913406161017,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,657.7657799206798,5.376765285013935,0.12915043291330464,-0.09474901452023399,0.09762447277518842,1.3122809617302185,Attack/or/basket,KR_Attack_25_37_37,or,basket,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,648.8315428369533,5.290151577486521,0.12813846519136396,-0.09681129687379708,0.09975190275827614,1.2771468025844934,Semi50/and/basket,KR_Semi_50_50,and,basket,combined,-0.0375913406161017,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,642.2259932425776,5.226113525298807,0.12738185716442896,-0.09474901452023399,0.09694379665360717,1.304588737341816,Attack/annual5_live/basket,KR_Attack_25_37_37,annual5_live,basket,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,638.280765981106,5.187866190137229,0.12692648979832621,-0.09474901452023399,0.0970719354612011,1.2988164195272334,Attack/ma_down/basket,KR_Attack_25_37_37,ma_down,basket,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,616.8591653728695,4.980192694072248,0.12440708079598184,-0.10193975952510415,0.09888440797769628,1.253828160535906,SemiSplit/or/basket,KR_Semi_50_50,or,basket,split,-0.027545888591997025,0.0,46,19,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,607.3275408523725,4.8877875641498285,0.12325967512050728,-0.1515409631371104,0.10010674690373919,1.2295887633660523,Attack/ma_reclaim/basket,KR_Attack_25_37_37,ma_reclaim,basket,combined,0.0,,89,7,7,0,0,0
2011-02-28,2026-05-31,15.252566735112936,600.9411887251596,4.8258745401132215,0.12248144128592742,-0.0941408028739198,0.09599405679764883,1.2710035810994114,Attack/drawdown/basket,KR_Attack_25_37_37,drawdown,basket,combined,-0.03512877740679832,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,598.4952272969374,4.8021619627793095,0.122181330818534,-0.11244231782227598,0.0993241431194666,1.228713234167609,SemiSplit/drawdown/basket,KR_Semi_50_50,drawdown,basket,split,-0.027545888591997025,0.0,44,11,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,583.0420487448511,4.652349832774691,0.12025835912608551,-0.0941408028739198,0.09555534749616916,1.255572605074226,Attack/and/basket,KR_Attack_25_37_37,and,basket,combined,-0.03512877740679832,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,574.9022766873359,4.573438132791532,0.1192262233536765,-0.12122852245381965,0.09828217983215272,1.21376344260638,SemiSplit/annual5_live/basket,KR_Semi_50_50,annual5_live,basket,split,0.0,0.0,25,19,0,2,0,0
2011-02-28,2026-05-31,15.252566735112936,571.2947679278304,4.538464837850935,0.11876441172035457,-0.12122852245381954,0.0984936572157361,1.2071656052160655,SemiSplit/ma_down/basket,KR_Semi_50_50,ma_down,basket,split,0.0,,25,19,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,554.2594617285431,4.373314639243311,0.11654615666811763,-0.12122852245381954,0.09896571159740458,1.1817728301842898,SemiSplit/and/basket,KR_Semi_50_50,and,basket,split,0.0,,23,11,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,519.3972348976187,4.193972348976186,0.11406392987089942,-0.1272966509313791,0.1152565956290698,0.9902433866909991,SemiSplit/ma_reclaim/cash,KR_Semi_50_50,ma_reclaim,cash,split,0.0,,121,111,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,451.26824664182817,3.3748577035456764,0.10159853270571273,-0.1256134230116066,0.08553384687106545,1.1957066911765328,KOSPI200/or/basket,KOSPI200,or,basket,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,440.46602770598724,3.270134689953365,0.09985003817058913,-0.1256134230116065,0.08497565681236452,1.1842737679054958,KOSPI200/annual5_live/basket,KOSPI200,annual5_live,basket,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,437.8107945224419,3.244393310110694,0.09941411793978161,-0.1256134230116066,0.08502722264392448,1.178931600248272,KOSPI200/ma_down/basket,KOSPI200,ma_down,basket,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,423.3284543047743,3.233284543047743,0.09922523172625808,-0.0494032060464028,0.07950803750700111,1.2265765830227415,Semi50/or/cash,KR_Semi_50_50,or,cash,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,433.6107588168043,3.2036757132074944,0.09871951088452868,-0.1256134230116066,0.08665972246010904,1.151000094366164,KOSPI200/drawdown/basket,KOSPI200,drawdown,basket,combined,-0.02772410380438306,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,415.09358614581606,3.1509358614581604,0.0978104089645746,-0.05074410958617814,0.07916508874175804,1.2152816376415152,Semi50/annual5_live/cash,KR_Semi_50_50,annual5_live,cash,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,420.65621815818616,3.078086836928252,0.0965367616549555,-0.1256134230116066,0.08620689824928497,1.1334735078536209,KOSPI200/and/basket,KOSPI200,and,basket,combined,-0.02772410380438306,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,405.2311974489018,3.052311974489018,0.0960810333991311,-0.0494032060464028,0.07856458720734362,1.2038586916582594,Semi50/ma_down/cash,KR_Semi_50_50,ma_down,cash,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,392.4370642373517,2.8045138925945685,0.09155595009332007,-0.14124507382754858,0.08900087047018249,1.0492929796020993,KOSPI200/ma_reclaim/basket,KOSPI200,ma_reclaim,basket,combined,-0.012667679160334178,,89,7,7,0,0,0
2011-02-28,2026-05-31,15.252566735112936,374.0978660517143,2.740978660517143,0.09035138405554188,-0.04766039734069383,0.0726750973114035,1.2233936005415498,Attack/or/cash,KR_Attack_25_37_37,or,cash,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,366.79104963674456,2.667910496367446,0.08894221879268782,-0.05281752873223633,0.0723666908587712,1.2104385270620208,Attack/annual5_live/cash,KR_Attack_25_37_37,annual5_live,cash,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,365.9099884542723,2.659099884542723,0.0887705319044243,-0.08603388212820917,0.08101878012709945,1.0866983337508092,Semi50/ma_reclaim/cash,KR_Semi_50_50,ma_reclaim,cash,combined,0.0,,89,7,7,0,0,0
2011-02-28,2026-05-31,15.252566735112936,358.0678606067831,2.580678606067831,0.08722513284044497,-0.047660397340693716,0.0717187757734175,1.1986848944414354,Attack/ma_down/cash,KR_Attack_25_37_37,ma_down,cash,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,351.8649891777406,2.518649891777406,0.08598020453770427,-0.049185589298960886,0.0705479021860627,1.2008105675099423,Semi50/drawdown/cash,KR_Semi_50_50,drawdown,cash,combined,-0.014626605912771984,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,344.9306059743563,2.449306059743563,0.08456394643428755,-0.049185589298961,0.07105712643231739,1.1743617972460074,SemiSplit/or/cash,KR_Semi_50_50,or,cash,split,0.0,0.0,46,19,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,336.62731858329107,2.366273185832911,0.08283267903052072,-0.049185589298960886,0.07003633312332301,1.167574414762914,Semi50/and/cash,KR_Semi_50_50,and,cash,combined,-0.014626605912771984,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,331.1015266318961,2.311015266318961,0.08165827615748111,-0.049185589298960886,0.07016981989504689,1.1500568996463985,SemiSplit/drawdown/cash,KR_Semi_50_50,drawdown,cash,split,0.0,0.0,44,11,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,321.91236990824456,2.2191236990824454,0.07966412350200591,-0.049185589298960886,0.06982585383430123,1.128905093137877,SemiSplit/annual5_live/cash,KR_Semi_50_50,annual5_live,cash,split,0.0,0.0,25,19,0,2,0,0
2011-02-28,2026-05-31,15.252566735112936,316.9992440848849,2.1699924408488487,0.07857598931859178,-0.0823500218917591,0.07439480496013978,1.0503725256013146,Attack/ma_reclaim/cash,KR_Attack_25_37_37,ma_reclaim,cash,combined,0.0,,89,7,7,0,0,0
2011-02-28,2026-05-31,15.252566735112936,316.03942246432615,2.1603942246432615,0.07836157427043244,-0.04766039734069383,0.06465097191724044,1.1955507719932112,Attack/drawdown/cash,KR_Attack_25_37_37,drawdown,cash,combined,-0.012123112754325094,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,314.2431454956094,2.142431454956094,0.07795866292058129,-0.049185589298960886,0.06917130729965762,1.1160631122351221,SemiSplit/ma_down/cash,KR_Semi_50_50,ma_down,cash,split,0.0,,25,19,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,302.3383922185544,2.0233839221855443,0.07523267883151274,-0.04766039734069383,0.06411690326874257,1.1596237465189243,Attack/and/cash,KR_Attack_25_37_37,and,cash,combined,-0.012123112754325094,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,301.58294790824124,2.0158294790824125,0.07505632853063338,-0.049185589298960886,0.06844668361348484,1.087737949959795,SemiSplit/and/cash,KR_Semi_50_50,and,cash,split,0.0,,23,11,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,256.16713766197864,1.5616713766197865,0.0636136755256147,-0.049754118014196824,0.05648057716061063,1.1167184923433178,KOSPI200/or/cash,KOSPI200,or,cash,combined,-0.003559140323695531,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,251.1016451844369,1.5110164518443692,0.06222185050771856,-0.059029040833023405,0.05634162369932629,1.0961360827120465,KOSPI200/annual5_live/cash,KOSPI200,annual5_live,cash,combined,-0.00022210240609632503,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,245.11219917816285,1.4511219917816285,0.060541896055364974,-0.049754118014196824,0.05554375490297679,1.0825855989829272,KOSPI200/ma_down/cash,KOSPI200,ma_down,cash,combined,-0.003559140323695531,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,227.69038071858353,1.2769038071858354,0.05542771655732692,-0.04308482146589232,0.05047406311968723,1.090264479610778,KOSPI200/drawdown/cash,KOSPI200,drawdown,cash,combined,-0.004595649304479199,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,217.78720355642753,1.1778720355642753,0.05235513884556364,-0.04308482146589232,0.04988289430263326,1.0442064977813486,KOSPI200/and/cash,KOSPI200,and,cash,combined,-0.004595649304479199,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,204.5143192565291,1.0451431925652908,0.048025614286605345,-0.07125451003708039,0.05874047629718371,0.8246463029240524,KOSPI200/ma_reclaim/cash,KOSPI200,ma_reclaim,cash,combined,0.0,,89,7,7,0,0,0
