portfolio,asset_count,strategy,start,end,years,final_nav,total_return,cagr,mdd,vol,sharpe,calmar,avg_exposure,annual_turnover
core,12,ma5,2015-04-06,2026-06-08,11.173169062286105,275.46006120660894,1.7139478244460373,0.09347129525527853,-0.16871037240575615,0.07103371422892987,1.2995856359561675,0.5540340758093747,0.6205205739357287,2.3896532712570453
core,12,ma4,2015-04-06,2026-06-08,11.173169062286105,275.97769617194865,1.7066042367398921,0.09320615639428942,-0.1637662000966581,0.07264602833771697,1.2694206177609753,0.5691415953919506,0.6298989090477886,2.2654718512619465
core,12,ma5_52w_high,2015-04-06,2026-06-08,11.173169062286105,133.75565683156262,0.332624171762685,0.026033057003966187,-0.03478583328914231,0.025625713846898924,1.0173891870444514,0.7483810086588288,0.06975572157002252,0.9248345993629012
core,12,ma4_52w_high,2015-04-06,2026-06-08,11.173169062286105,133.75565683156262,0.332624171762685,0.026033057003966187,-0.03478583328914231,0.025625713846898924,1.0173891870444514,0.7483810086588288,0.06975572157002252,0.9248345993629012
core,12,ma5_52w_near5,2015-04-06,2026-06-08,11.173169062286105,207.42695434856188,1.0338564832747763,0.06560121006726627,-0.05744634389982428,0.051632008416952285,1.2617550947234415,1.1419562258246156,0.4269536345310091,1.9913777260475374
core,12,ma4_52w_near5,2015-04-06,2026-06-08,11.173169062286105,216.67640037972907,1.121266497144838,0.06962196658903896,-0.058565716129286516,0.05363624162754278,1.2874531154333317,1.1887836637282,0.44620834815605354,1.8533983704974275
core,12,ma5_stack_hard,2015-04-06,2026-06-08,11.173169062286105,178.0321895398341,0.7790432699197578,0.05291114671518149,-0.05497646866236483,0.04433486651146331,1.1895321870423274,0.9624326189470733,0.2513577611763311,1.6453105856407744
core,12,ma4_stack_hard,2015-04-06,2026-06-08,11.173169062286105,188.86896606423238,0.8647999044339001,0.05735693596156399,-0.05763837542464323,0.054397245475820755,1.0565477615181713,0.9951171513595627,0.3493789280208704,1.4152206873315365
core,12,ma5_stack_half,2015-04-06,2026-06-08,11.173169062286105,222.17543986046263,1.2044095505569423,0.07330882802492789,-0.10159147059120932,0.05413385496742308,1.3397544428660517,0.7216041622225643,0.4359391675560298,1.8071566405292825
core,12,ma4_stack_half,2015-04-06,2026-06-08,11.173169062286105,228.8044629776892,1.2514738655962319,0.07534007639956819,-0.09960023111963079,0.0610907868766079,1.225157358121187,0.7564247146081067,0.4896389185343294,1.6837210548885078
korea,10,ma5,2025-01-10,2026-06-09,1.4099931553730323,207.5687184035748,0.9914650235938389,0.6299723524030045,-0.10502368860319888,0.19334300232285287,2.756761497741531,5.998383419793698,0.666449704142012,1.1489417475728154
korea,10,ma4,2025-01-10,2026-06-09,1.4099931553730323,220.27732448889932,1.0797825092129463,0.6809148735767203,-0.10420498484468455,0.19694381390913146,2.874195244043621,6.534379085526574,0.692973372781065,1.1879490291262134
korea,10,ma5_52w_high,2025-01-10,2026-06-09,1.4099931553730323,113.64129249948552,0.15115127563501018,0.1049853544218664,-0.07361414739621897,0.08899216926352282,1.2239539155982582,1.4261573099094096,0.11331360946745564,1.7730582524271843
korea,10,ma4_52w_high,2025-01-10,2026-06-09,1.4099931553730323,113.64129249948552,0.15115127563501018,0.1049853544218664,-0.07361414739621897,0.08899216926352282,1.2239539155982582,1.4261573099094096,0.11331360946745564,1.7730582524271843
korea,10,ma5_52w_near5,2025-01-10,2026-06-09,1.4099931553730323,153.2023528528206,0.5079068689274511,0.33815790989166383,-0.1082097296137926,0.17557579965266693,1.8344763273202627,3.125023148090018,0.43011834319526626,2.141854368932039
korea,10,ma4_52w_near5,2025-01-10,2026-06-09,1.4099931553730323,157.69698918958886,0.538959261766196,0.3576437938071835,-0.1076536953984295,0.17662241317590952,1.9105712209867907,3.3221692249721038,0.44186390532544384,2.1631310679611655
korea,10,ma5_stack_hard,2025-01-10,2026-06-09,1.4099931553730323,164.6243012476411,0.6047073038934598,0.398529102143069,-0.1048510293383691,0.18092661602013158,2.0431267067315586,3.800907865739298,0.32396449704142016,2.354621359223301
korea,10,ma4_stack_hard,2025-01-10,2026-06-09,1.4099931553730323,188.17008349502004,0.8358766737562235,0.538593738611044,-0.10689384267322466,0.19106106096813674,2.4697058246817174,5.038585246275872,0.4657544378698225,1.134757281553398
korea,10,ma5_stack_half,2025-01-10,2026-06-09,1.4099931553730323,185.0172998233664,0.7885884914958243,0.5103801944667428,-0.1039398419577161,0.1852181052172341,2.4367394989598967,4.910342221555148,0.49520710059171613,1.4964611650485438
korea,10,ma4_stack_half,2025-01-10,2026-06-09,1.4099931553730323,203.66337949146916,0.9545375376805167,0.6084782677810985,-0.10554849537168087,0.19303574693924833,2.6884129102548164,5.7649165498607,0.5793639053254438,1.0549696601941752
extended,21,ma5,2014-05-05,2026-06-08,12.093086926762492,196.3337227314126,0.8943333727088445,0.054249466848149464,-0.1233951690199171,0.0784372192460273,0.7158036635909263,0.4396401194555121,0.6307629692245078,2.629601539506453
extended,21,ma4,2014-05-05,2026-06-08,12.093086926762492,201.7441450622898,0.932818723756417,0.056004283616495565,-0.12692188155883333,0.08044944974956736,0.7205354043150077,0.441250026619999,0.649443505212736,2.495522575115625
extended,21,ma5_52w_high,2014-05-05,2026-06-08,12.093086926762492,105.00922977923355,0.06267212202584216,0.005039212590733699,-0.03356662178104475,0.016142488453241406,0.3206125807731993,0.1501256999767361,0.07549857549857548,1.0946828810763607
extended,21,ma4_52w_high,2014-05-05,2026-06-08,12.093086926762492,105.00922977923355,0.06267212202584216,0.005039212590733699,-0.03356662178104475,0.016142488453241406,0.3206125807731993,0.1501256999767361,0.07549857549857548,1.0946828810763607
extended,21,ma5_52w_near5,2014-05-05,2026-06-08,12.093086926762492,158.2120646574273,0.540411228340351,0.03637285197936557,-0.09595012566078054,0.055965162650279246,0.6696430818346244,0.3790808165062458,0.44174571866879553,2.3901888806235645
extended,21,ma4_52w_near5,2014-05-05,2026-06-08,12.093086926762492,164.94602473735108,0.5963508978971219,0.03943434929191625,-0.10516129901185667,0.059520741901125225,0.682704450119198,0.3749891800734615,0.4679682852759776,2.294699456644782
extended,21,ma5_stack_hard,2014-05-05,2026-06-08,12.093086926762492,130.0324531912676,0.29538212455652335,0.021631776870429498,-0.07338113474985353,0.041695653879585265,0.5371783239101283,0.29478662253138127,0.2669797439028208,1.893250105113361
extended,21,ma4_stack_hard,2014-05-05,2026-06-08,12.093086926762492,155.70193534858112,0.5161947047356696,0.03501577093837982,-0.08427052010028879,0.053457370783454,0.6731104925806579,0.4155162552302774,0.3655215866754328,1.6764792684110095
extended,21,ma5_stack_half,2014-05-05,2026-06-08,12.093086926762492,160.4791933256988,0.5732057505193393,0.03817977375952575,-0.09494483408887777,0.05693062018736377,0.6898190297687722,0.402125867361943,0.4488713565636643,2.0732033700960577
extended,21,ma4_stack_half,2014-05-05,2026-06-08,12.093086926762492,177.7739408233125,0.7170235752749277,0.04571680750485241,-0.09488787301786283,0.06458440117076454,0.7273381209646497,0.48179821141365586,0.5074825459440844,1.9304614476535462
all,43,ma5,2025-01-10,2026-06-08,1.4072553045859,139.18126793890158,0.3267987613982537,0.22254725841852108,-0.06225828004551681,0.07790404779459295,2.8266134734181834,3.5745808951968727,0.6902155416903007,1.7715500859650741
all,43,ma4,2025-01-10,2026-06-08,1.4072553045859,142.57847596362774,0.34449641351088056,0.23411288337015335,-0.06754062782155634,0.08108643964840434,2.841179505967863,3.4662526973939918,0.7145136131593877,1.6566967921455094
all,43,ma5_52w_high,2025-01-10,2026-06-08,1.4072553045859,104.22399251099897,0.04718633602164557,0.0333063377509335,-0.02227965287636613,0.02378183585447101,1.5015356069467038,1.4949217537524693,0.10642370958593307,1.0906931499411818
all,43,ma4_52w_high,2025-01-10,2026-06-08,1.4072553045859,104.22399251099897,0.04718633602164557,0.0333063377509335,-0.02227965287636613,0.02378183585447101,1.5015356069467038,1.4949217537524693,0.10642370958593307,1.0906931499411818
all,43,ma5_52w_near5,2025-01-10,2026-06-08,1.4072553045859,123.03657074600893,0.19385359855819106,0.1341791830261061,-0.04052420904623444,0.062084469683241605,2.2163008150033257,3.311087031285912,0.5128332387975042,1.8806194009591892
all,43,ma4_52w_near5,2025-01-10,2026-06-08,1.4072553045859,125.34339112465548,0.20640789220758693,0.14264154558327635,-0.04273086165035156,0.06378322477621934,2.2818058273421475,3.3381387614050793,0.5361422291548498,1.7558507148674338
all,43,ma5_stack_hard,2025-01-10,2026-06-08,1.4072553045859,117.40710187006749,0.1621462728217682,0.11269086646082505,-0.046572297351698655,0.05805963682500201,2.024111350247189,2.4196973924180876,0.3074163357912648,1.8475680933852137
all,43,ma4_stack_hard,2025-01-10,2026-06-08,1.4072553045859,124.73713749667385,0.2172087739404489,0.1499016243372353,-0.04894619055000893,0.06560623240013731,2.3163870698399647,3.062580001687342,0.42957671582529766,1.3013952357252743
all,43,ma5_stack_half,2025-01-10,2026-06-08,1.4072553045859,127.87818023838899,0.24203088012103735,0.1665161933379744,-0.044761278698874696,0.06616873476471063,2.5519892606352426,3.7200946482827053,0.49881593874078284,1.303874083793323
all,43,ma4_stack_half,2025-01-10,2026-06-08,1.4072553045859,133.38551775375117,0.27945374718570437,0.19138466902281448,-0.05284946916800004,0.07228607408109428,2.644704141385514,3.621316770740556,0.5720451644923428,1.2807381684915407
